"","type","time","throttle","voltage","current","reg_volt","total_current","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"579","CURR"," 11297961"," 0"," 2471"," 55"," 5135"," 0"," 0","","","","","","","",""
"609","CURR"," 11398070"," 0"," 2493"," 6"," 5128"," 0.0018650978999999999"," 0","","","","","","","",""
"638","CURR"," 11498134"," 0"," 2457"," 4"," 5140"," 0.0032460309999999999"," 0","","","","","","","",""
"667","CURR"," 11597683"," 0"," 2450"," 1"," 5144"," 0.0037096971599999999"," 0","","","","","","","",""
"696","CURR"," 11697667"," 0"," 2475"," 4"," 5177"," 0.0049170474499999998"," 0","","","","","","","",""
"725","CURR"," 11797895"," 0"," 2474"," 5"," 5148"," 0.0064731431200000002"," 0","","","","","","","",""
"754","CURR"," 11897695"," 0"," 2468"," 5"," 5178"," 0.0080225942700000007"," 0","","","","","","","",""
"783","CURR"," 11997617"," 0"," 2482"," 8"," 5186"," 0.010435797300000001"," 0","","","","","","","",""
"812","CURR"," 12097945"," 0"," 2475"," 1"," 5106"," 0.010903092099999999"," 0","","","","","","","",""
"841","CURR"," 12197793"," 0"," 2473"," 0"," 5112"," 0.0110753365"," 0","","","","","","","",""
"871","CURR"," 12297861"," 0"," 2474"," 4"," 5177"," 0.0123177292"," 0","","","","","","","",""
"902","CURR"," 12398150"," 0"," 2462"," 5"," 5186"," 0.013875393200000001"," 0","","","","","","","",""
"931","CURR"," 12497705"," 0"," 2474"," 1"," 5109"," 0.014390603599999999"," 0","","","","","","","",""
"960","CURR"," 12597668"," 0"," 2474"," 2"," 5141"," 0.0150114028"," 0","","","","","","","",""
"989","CURR"," 12697965"," 0"," 2475"," 5"," 5185"," 0.016568569500000001"," 0","","","","","","","",""
"1018","CURR"," 12797839"," 0"," 2476"," 7"," 5180"," 0.018584348300000001"," 0","","","","","","","",""
"1047","CURR"," 12897663"," 0"," 2482"," 5"," 5185"," 0.020134171499999999"," 0","","","","","","","",""
"1076","CURR"," 12997774"," 0"," 2459"," 6"," 5180"," 0.021861149"," 0","","","","","","","",""
"1105","CURR"," 13098069"," 0"," 2467"," 5"," 5148"," 0.023262571499999999"," 0","","","","","","","",""
"1134","CURR"," 13197953"," 0"," 2462"," 5"," 5135"," 0.024813326100000001"," 0","","","","","","","",""
"1166","CURR"," 13298042"," 0"," 2478"," 4"," 5159"," 0.026056475900000001"," 0","","","","","","","",""
"1195","CURR"," 13398001"," 0"," 2473"," 8"," 5154"," 0.0284705479"," 0","","","","","","","",""
"1224","CURR"," 13497793"," 0"," 2472"," 3"," 5138"," 0.029555087899999999"," 0","","","","","","","",""
"1253","CURR"," 13597709"," 0"," 2472"," 3"," 5141"," 0.030416894699999999"," 0","","","","","","","",""
"1282","CURR"," 13697806"," 0"," 2458"," 5"," 5156"," 0.031970955400000001"," 0","","","","","","","",""
"1311","CURR"," 13797656"," 0"," 2475"," 6"," 5180"," 0.033676188400000001"," 0","","","","","","","",""
"1340","CURR"," 13897721"," 0"," 2470"," 4"," 5180"," 0.035057134900000002"," 0","","","","","","","",""
"1369","CURR"," 13997738"," 0"," 2472"," 3"," 5180"," 0.0361441188"," 0","","","","","","","",""
"1398","CURR"," 14097704"," 0"," 2474"," 5"," 5141"," 0.037696130600000002"," 0","","","","","","","",""
"1427","CURR"," 14197596"," 0"," 2473"," 3"," 5138"," 0.0387300514"," 0","","","","","","","",""
"1457","CURR"," 14298159"," 0"," 2470"," 0"," 5177"," 0.038886181999999998"," 0","","","","","","","",""
"1487","CURR"," 14398067"," 0"," 2473"," 10"," 5180"," 0.041816089299999998"," 0","","","","","","","",""
"1519","CURR"," 14498477"," 0"," 2477"," 5"," 5128"," 0.043375011499999998"," 0","","","","","","","",""
"1549","CURR"," 14599112"," 0"," 2482"," 0"," 5115"," 0.043548613799999997"," 0","","","","","","","",""
"1579","CURR"," 14699622"," 0"," 2488"," 3"," 5173"," 0.044640947100000002"," 0","","","","","","","",""
"1609","CURR"," 14799758"," 0"," 2493"," 3"," 5151"," 0.045677009999999997"," 0","","","","","","","",""
"1639","CURR"," 14900438"," 0"," 2476"," 2"," 5185"," 0.046458855299999997"," 0","","","","","","","",""
"1669","CURR"," 15000808"," 0"," 2472"," 6"," 5180"," 0.048190299399999997"," 0","","","","","","","",""
"1699","CURR"," 15101288"," 0"," 2471"," 3"," 5119"," 0.049126293500000001"," 0","","","","","","","",""
"1729","CURR"," 15201252"," 0"," 2459"," 1"," 5143"," 0.049471184600000002"," 0","","","","","","","",""
"1760","CURR"," 15301603"," 0"," 2470"," 2"," 5177"," 0.050163630399999999"," 0","","","","","","","",""
"1792","CURR"," 15401785"," 0"," 2483"," 3"," 5157"," 0.051096849100000001"," 0","","","","","","","",""
"1822","CURR"," 15502250"," 0"," 2459"," 1"," 5136"," 0.051616780500000001"," 0","","","","","","","",""
"1852","CURR"," 15602583"," 0"," 2471"," 2"," 5141"," 0.052395641799999997"," 0","","","","","","","",""
"1882","CURR"," 15702507"," 0"," 2460"," 3"," 5161"," 0.0534298941"," 0","","","","","","","",""
"1912","CURR"," 15803137"," 0"," 2476"," 7"," 5186"," 0.055460933599999998"," 0","","","","","","","",""
"1942","CURR"," 15903059"," 0"," 2475"," 7"," 5186"," 0.057529229699999997"," 0","","","","","","","",""
"1972","CURR"," 16003550"," 0"," 2482"," 7"," 5170"," 0.059713654200000001"," 0","","","","","","","",""
"2002","CURR"," 16103824"," 0"," 2455"," 3"," 5141"," 0.060578547400000002"," 0","","","","","","","",""
"2032","CURR"," 16203706"," 0"," 2477"," 2"," 5132"," 0.0612677597"," 0","","","","","","","",""
"2065","CURR"," 16304303"," 0"," 2478"," 6"," 5180"," 0.062985770400000002"," 0","","","","","","","",""
"2095","CURR"," 16404862"," 0"," 2469"," 3"," 5180"," 0.064026594199999995"," 0","","","","","","","",""
"2125","CURR"," 16504706"," 0"," 2470"," 2"," 5135"," 0.064715534399999997"," 0","","","","","","","",""
"2155","CURR"," 16604697"," 0"," 2472"," 0"," 5128"," 0.064870774699999995"," 0","","","","","","","",""
"2185","CURR"," 16705677"," 0"," 2474"," 6"," 5180"," 0.066612742799999999"," 0","","","","","","","",""
"2215","CURR"," 16805638"," 0"," 2483"," 5"," 5173"," 0.068009495700000006"," 0","","","","","","","",""
"2245","CURR"," 16905569"," 0"," 2476"," 8"," 5177"," 0.070250526100000002"," 0","","","","","","","",""
"2275","CURR"," 17006669"," 0"," 2477"," 6"," 5175"," 0.072168968599999994"," 0","","","","","","","",""
"2305","CURR"," 17106935"," 0"," 2473"," 5"," 5135"," 0.073569983199999994"," 0","","","","","","","",""
"2335","CURR"," 17207732"," 0"," 2465"," 6"," 5141"," 0.075482658999999994"," 0","","","","","","","",""
"2366","CURR"," 17308904"," 0"," 2479"," 2"," 5180"," 0.0761109591"," 0","","","","","","","",""
"2398","CURR"," 17409418"," 0"," 2476"," 6"," 5209"," 0.078018300200000001"," 0","","","","","","","",""
"2428","CURR"," 17510465"," 0"," 2475"," 2"," 5151"," 0.078645825399999994"," 0","","","","","","","",""
"2458","CURR"," 17611036"," 0"," 2478"," 4"," 5128"," 0.080033741899999997"," 0","","","","","","","",""
"2488","CURR"," 17711709"," 0"," 2477"," 2"," 5180"," 0.080815255599999997"," 0","","","","","","","",""
"2518","CURR"," 17811779"," 0"," 2471"," 4"," 5186"," 0.082023642999999993"," 0","","","","","","","",""
"2548","CURR"," 17912001"," 0"," 2476"," 5"," 5175"," 0.083424046599999996"," 0","","","","","","","",""
"2578","CURR"," 18011924"," 0"," 2470"," 3"," 5182"," 0.084285907399999999"," 0","","","","","","","",""
"2608","CURR"," 18112544"," 0"," 2473"," 2"," 5140"," 0.084980219600000004"," 0","","","","","","","",""
"2638","CURR"," 18212342"," 0"," 2473"," 1"," 5141"," 0.085445046400000002"," 0","","","","","","","",""
"2670","CURR"," 18312908"," 0"," 2475"," 1"," 5164"," 0.085965491800000002"," 0","","","","","","","",""
"2701","CURR"," 18413549"," 0"," 2478"," 7"," 5186"," 0.087996751100000006"," 0","","","","","","","",""
"2732","CURR"," 18513321"," 0"," 2475"," 2"," 5135"," 0.088685192199999999"," 0","","","","","","","",""
"2762","CURR"," 18613621"," 0"," 2465"," 1"," 5136"," 0.089152358500000001"," 0","","","","","","","",""
"2792","CURR"," 18713947"," 0"," 2469"," 2"," 5182"," 0.089844629199999998"," 0","","","","","","","",""
"2824","CURR"," 18813638"," 0"," 2466"," 4"," 5180"," 0.091220416100000007"," 0","","","","","","","",""
"2854","CURR"," 18914016"," 0"," 2486"," 4"," 5178"," 0.092467158999999993"," 0","","","","","","","",""
"2886","CURR"," 19014408"," 0"," 2461"," 2"," 5173"," 0.093159891699999997"," 0","","","","","","","",""
"2916","CURR"," 19114953"," 0"," 2487"," 1"," 5138"," 0.093628197900000001"," 0","","","","","","","",""
"2950","CURR"," 19215076"," 0"," 2474"," 1"," 5141"," 0.094146356"," 0","","","","","","","",""
"2981","CURR"," 19315728"," 0"," 2475"," 3"," 5180"," 0.095083966899999997"," 0","","","","","","","",""
"3013","CURR"," 19415651"," 0"," 2478"," 4"," 5180"," 0.096462957599999996"," 0","","","","","","","",""
"3045","CURR"," 19515968"," 0"," 2483"," 2"," 5148"," 0.097155168700000002"," 0","","","","","","","",""
"3077","CURR"," 19615945"," 0"," 2471"," 2"," 5133"," 0.097776047899999996"," 0","","","","","","","",""
"3107","CURR"," 19716407"," 0"," 2481"," 3"," 5180"," 0.098642565299999999"," 0","","","","","","","",""
"3139","CURR"," 19816694"," 0"," 2461"," 5"," 5180"," 0.100043878"," 0","","","","","","","",""
"3169","CURR"," 19916897"," 0"," 2476"," 3"," 5180"," 0.101080641"," 0","","","","","","","",""
"3201","CURR"," 20017221"," 0"," 2465"," 6"," 5167"," 0.102794603"," 0","","","","","","","",""
"3231","CURR"," 20117605"," 0"," 2488"," 4"," 5144"," 0.10417994899999999"," 0","","","","","","","",""
"3263","CURR"," 20217830"," 0"," 2474"," 1"," 5141"," 0.104646765"," 0","","","","","","","",""
"3294","CURR"," 20318473"," 0"," 2479"," 4"," 5182"," 0.105862074"," 0","","","","","","","",""
"3328","CURR"," 20418939"," 0"," 2472"," 4"," 5172"," 0.10710944999999999"," 0","","","","","","","",""
"3360","CURR"," 20519069"," 0"," 2475"," 1"," 5138"," 0.10762783099999999"," 0","","","","","","","",""
"3390","CURR"," 20619458"," 0"," 2474"," 0"," 5112"," 0.10780100500000001"," 0","","","","","","","",""
"3422","CURR"," 20719892"," 0"," 2480"," 2"," 5173"," 0.108424723"," 0","","","","","","","",""
"3452","CURR"," 20820487"," 0"," 2479"," 8"," 5186"," 0.11068064699999999"," 0","","","","","","","",""
"3484","CURR"," 20921065"," 0"," 2475"," 3"," 5178"," 0.11161716300000001"," 0","","","","","","","",""
"3514","CURR"," 21021228"," 0"," 2478"," 6"," 5173"," 0.11334577899999999"," 0","","","","","","","",""
"3546","CURR"," 21122135"," 0"," 2472"," 2"," 5144"," 0.114129089"," 0","","","","","","","",""
"3578","CURR"," 21221976"," 0"," 2476"," 1"," 5141"," 0.114473559"," 0","","","","","","","",""
"3614","CURR"," 21322493"," 0"," 2484"," 6"," 5159"," 0.11620754"," 0","","","","","","","",""
"3644","CURR"," 21423209"," 0"," 2472"," 7"," 5180"," 0.118396685"," 0","","","","","","","",""
"3676","CURR"," 21523493"," 0"," 2477"," 6"," 5148"," 0.12012664200000001"," 0","","","","","","","",""
"3706","CURR"," 21623277"," 0"," 2477"," 1"," 5141"," 0.120591238"," 0","","","","","","","",""
"3738","CURR"," 21723905"," 0"," 2476"," 2"," 5175"," 0.12128584100000001"," 0","","","","","","","",""
"3768","CURR"," 21823979"," 0"," 2466"," 7"," 5180"," 0.123461008"," 0","","","","","","","",""
"3800","CURR"," 21923912"," 0"," 2470"," 5"," 5180"," 0.125012547"," 0","","","","","","","",""
"3830","CURR"," 22023946"," 0"," 2471"," 6"," 5173"," 0.12673817600000001"," 0","","","","","","","",""
"3862","CURR"," 22124075"," 0"," 2463"," 5"," 5148"," 0.12829275400000001"," 0","","","","","","","",""
"3892","CURR"," 22224147"," 0"," 2472"," 2"," 5141"," 0.12898327400000001"," 0","","","","","","","",""
"3925","CURR"," 22324705"," 0"," 2481"," 1"," 5172"," 0.129295513"," 0","","","","","","","",""
"3955","CURR"," 22425137"," 0"," 2469"," 3"," 5183"," 0.130335018"," 0","","","","","","","",""
"3989","CURR"," 22525706"," 0"," 2476"," 5"," 5141"," 0.13174027199999999"," 0","","","","","","","",""
"4019","CURR"," 22626213"," 0"," 2472"," 1"," 5135"," 0.13208703699999999"," 0","","","","","","","",""
"4051","CURR"," 22726916"," 0"," 2477"," 1"," 5178"," 0.13260818999999999"," 0","","","","","","","",""
"4081","CURR"," 22827520"," 0"," 2472"," 4"," 5180"," 0.133857742"," 0","","","","","","","",""
"4113","CURR"," 22928146"," 0"," 2478"," 8"," 5178"," 0.13628794299999999"," 0","","","","","","","",""
"4143","CURR"," 23028069"," 0"," 2479"," 7"," 5180"," 0.138459846"," 0","","","","","","","",""
"4175","CURR"," 23128038"," 0"," 2476"," 6"," 5146"," 0.140184373"," 0","","","","","","","",""
"4207","CURR"," 23228628"," 0"," 2473"," 2"," 5135"," 0.140965223"," 0","","","","","","","",""
"4240","CURR"," 23329026"," 0"," 2465"," 2"," 5173"," 0.14165799300000001"," 0","","","","","","","",""
"4272","CURR"," 23429310"," 0"," 2464"," 5"," 5180"," 0.143214956"," 0","","","","","","","",""
"4304","CURR"," 23530105"," 0"," 2474"," 6"," 5141"," 0.144936338"," 0","","","","","","","",""
"4334","CURR"," 23630391"," 0"," 2475"," 3"," 5141"," 0.14597432299999999"," 0","","","","","","","",""
"4366","CURR"," 23730878"," 0"," 2479"," 3"," 5180"," 0.14706641400000001"," 0","","","","","","","",""
"4396","CURR"," 23831169"," 0"," 2466"," 6"," 5177"," 0.148796499"," 0","","","","","","","",""
"4428","CURR"," 23931796"," 0"," 2469"," 5"," 5186"," 0.15035879599999999"," 0","","","","","","","",""
